name,twitterHandler,linkTwitter,project,image,note
Howard Marks,@HowardMarksBook,,"Co-Chairman & Co-Founder of Oaktree
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Howard%20Marks.jpg?alt=media,
Ray Dalio,@RayDalio,,Founder of Bridgewater Associates,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ray%20Dalio.jpg?alt=media,
Chamath Palihapitiya,@chamath,,"CEO of SocialCapital
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chamath%20Palihapitiya.jpg?alt=media,
Jessica Livingston,@jesslivingston,,Co-founder and partner at Y Combinator,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jessica%20Livingston.jpg?alt=media,
Ryan Hoover,@rrhoover,,"Founder of  Product Hunt
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ryan%20Hoover.jpg?alt=media,
"tobi lutke
",@tobi,,CEO of Shopify,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/tobi%20lutke.jpg?alt=media,
David Sacks,@DavidSacks,,Co-founder and general partner at Craft Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/David%20Sacks.jpg?alt=media,
Brad Gerstner,@altcap,,Founder - Altimeter Capital. ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Brad%20Gerstner.jpg?alt=media,
"Keith Rabois
",@rabois,,"Entrepreneur, Investor, Ex Paypal, Linkedln, Square",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Keith%20Rabois.jpg?alt=media,
"Orlando Bravo
",@OrlandoBravoTB,,"Co-founder of  Thoma Bravo
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Orlando%20Bravo.jpg?alt=media,
Patrick OShaughnessy,@patrick_oshag,,CEO of O'Shaughnessy Asset Management (OSAM),https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Patrick%20OShaughnessy.jpg?alt=media,
"Morgan Housel
",@morganhousel,,"Partner at The Collaborative Fund, ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Morgan%20Housel.jpg?alt=media,
Ian Cassel,@iancassel,,Founder of MicroCapClub,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ian%20Cassel.png?alt=media,
David Rosenberg,@EconguyRosie,,Founder and President of Rosenberg Research & Associates Inc.,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/David%20Rosenberg.png?alt=media,
Jamin Ball,@jaminball,,Partner at Altimeter,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jamin%20Ball.jpg?alt=media,
Puru Saxena,@saxena_puru,,Founder of AlphaTarget,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Puru%20Saxena.jpg?alt=media,
Thanh Le - thanh.c98,@imlethanh98,,Founder of Ninety Eight,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Thanh%20Le%20-%20thanh.c98.jpg?alt=media,
Vinh The Nguyen,@drofin69,,CEO and Founder of Ninety Eight,,
"Danielle DiMartino Booth
",@DiMartinoBooth,,"CEO & Chief Strategist, QI Research LLC,",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Danielle%20DiMartino%20Booth.jpg?alt=media,
TN | Pendle,@tn_pendle,,Co-Founder Pendle,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/TN%20_%20Pendle.png?alt=media,
Luke Gromen,@LukeGromen,,"Founder & President, Forest for the Trees (FFTT)",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Luke%20Gromen.jpg?alt=media,
Michael Green,@profplum99,,Chief Strategist Simplify Asset Management,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Green.jpg?alt=media,
Joseph Wang,@FedGuy12,,Operator of Fedguy.com,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Joseph%20Wang.jpg?alt=media,
"Bob Elliott
",@BobEUnlimited,,"
Co-founder of Unlimited Fund",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Bob%20Elliott.jpg?alt=media,
Ev,@ev,,Co-founder Twitter,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ev.jpg?alt=media,
Biz Stone,@biz,,Co-founder Twitter,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Biz%20Stone.jpg?alt=media,
Eric Schmidt,@ericschmidt,,Former Executive Chairman & CEO of Schmidt Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Eric%20Schmidt.jpg?alt=media,
Ran Neuner,@cryptomanran,,"CNBC Crypto Trader , Founder Crypto Banter",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ran%20Neuner.jpg?alt=media,
Michaël van de Poppe,@CryptoMichNL,,CIO & Founder MN Trading Consultancy,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michae%CC%88l%20van%20de%20Poppe.jpg?alt=media,
Benjamin Cowen,@intocryptoverse,,Founder of Into The Cryptoverse,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Benjamin%20Cowen.jpg?alt=media,
Nebraskangooner,@Nebraskangooner,,"Advisor of BingX and Amino Rewards
 ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Nebraskangooner.jpg?alt=media,
Edgy - The DeFi Edge 🗡️,@thedefiedge,,Defi & Crypto Analyst,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Edgy%20-%20The%20DeFi%20Edge%20%F0%9F%97%A1%EF%B8%8F.jpg?alt=media,
ZachXBT,@zachxbt,,On-chain investigator,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/ZachXBT.jpg?alt=media,
Jack Niewold,@JackNiewold,,"Founder of  Crypto Pragmatist
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jack%20Niewold%20%F0%9F%AB%A1.jpg?alt=media,
Raj Gokal,@rajgokal,,Co Founder of Solana,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/raj%20%F0%9F%96%A4.jpg?alt=media,
Kelvin Koh,@SpartanBlack_1,,"Founding Partner The Spartan Group
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kelvin%20Koh.jpg?alt=media,
tuba,@0xtuba,,CEO of Psyops Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/tuba%20%F0%9F%A6%88.jpg?alt=media,
Jeremy Allaire,@jerallaire,,Co-Founder & CEO of Circle,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jeremy%20Allaire.jpg?alt=media,
Evan Sui,@EvanWeb3,,Co-Founder & CEO of Mysten Lab,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/evan.sui.jpg?alt=media,
Kostas Kryptos,@kostascrypto,,Co-Founder Mysten Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kostas%20Kryptos.jpg?alt=media,
Mo Shaikh 🌐 aptOS,@moshaikhs,,Co-Founder Aptos Labs,,
avery.apt,@AveryChing,,Co-founder & CTO of Aptos,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/avery.apt%20%F0%9F%8C%90.jpg?alt=media,
Will,@WClementeIII,,"Co-founded of Reflexivity Research
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Will.jpg?alt=media,
Brock Pierce,@brockpierce,,Co-founder of Tether,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Brock%20Pierce.jpg?alt=media,
Gavin Andresen,@gavinandresen,,Bitcoin Early Contributor,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gavin%20Andresen.jpg?alt=media,
"Chris Burniske
",@cburniske,,"Co-Founder & Partner of Placeholder VC
",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chris%20Burniske.jpg?alt=media,
Tushar Jain,@TusharJain_,,Co-Founder & Managing Partner of Multicoin Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Tushar%20Jain.jpg?alt=media,
Ari Paul ⛓️,@AriDavidPaul,,CIO/Founder of BlockTower Capital.   ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ari%20Paul%20%E2%9B%93%EF%B8%8F.jpg?alt=media,
nic carter,@nic__carter,,General partner at Castle Island Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/nic%20carter.jpg?alt=media,
Marty Bent,@MartyBent,,Founder  of TFTC,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Marty%20Bent.jpg?alt=media,
Sahil Lavingia,@shl,,Founder and CEO of Gumroad,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sahil%20Lavingia.jpg?alt=media,
Loi Luu,@loi_luu,,Founder of Kyber Network,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Loi%20Luu.jpg?alt=media,
Will Warren,@willwarren,,Co-founder  0xProject &  matcha,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Will%20Warren%20%F0%9F%8D%B5.jpg?alt=media,
Rekt Fencer,@rektfencer,,Founder of X DAO,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Rekt%20Fencer.jpg?alt=media,
Alex Atallah,@xanderatallah,,"Co-founder, CTO of OpenSea",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alex%20Atallah.png?alt=media,
Sergej Kunz,@deacix,,Co-Founder of 1Inch,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sergej%20Kunz.jpg?alt=media,
ve8020Fernando | Balancer,@fcmartinelli,,CEO & Founder of Balancer Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/ve8020Fernando%20_%20Balancer%20%F0%9F%A6%87.jpg?alt=media,
Jack Lu,@0xLeoInRio,,CEO & Co- founder Magic Eden,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jack%20Lu.jpg?alt=media,
Eli Ben-Sasson,@EliBenSasson,,CEO & Founder StarkWare LTD,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Eli%20Ben-Sasson.jpg?alt=media,
Optimist Prime,@jinglejamOP,,Founder of Optimist ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Optimist%20Prime.jpg?alt=media,
gnobody,@jaekwon        ,,Founder of Cosmos,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/gnobody.jpg?alt=media,
Arthur B. 🌮,@ArthurB,,Founder of Tezos,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Arthur%20B.%20%F0%9F%8C%AE.jpg?alt=media,
Daniel Larimer,@bytemaster7,,Founder of EOS,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Daniel%20Larimer.jpg?alt=media,
zooko,@zooko,,Founder of Zcash,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/zooko%F0%9F%9B%A1%F0%9F%A6%93%F0%9F%A6%93%F0%9F%A6%93%20%E2%93%A9.jpg?alt=media,
David Sønstebø,@DavidSonstebo,,Founder of IOTA,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/David%20S%C3%B8nsteb%C3%B8.jpg?alt=media,
Riccardo Spagni,@fluffypony,,Ex Lead Maintainer of Monero (XMR),https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Riccardo%20Spagni.jpg?alt=media,
trungfinity.ron,@trungfinity,,Founder of Axe Ininity & Ronnin Network,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/trungfinity.ron.jpg?alt=media,
Gabby Dizon | YGG,@gabusch,,Founder of YGG,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gabby%20Dizon%20_%20YGG%20%F0%9F%9B%A1%EF%B8%8F%E2%9A%94%EF%B8%8F.jpg?alt=media,
Jordan Fish,@JordanFish,,Contributor of Lido DAO,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/jordan%20fish.jpg?alt=media,
Mustafa Al-Bassam,@musalbas,,Co-Founder of Celestia,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mustafa%20Al-Bassam.png?alt=media,
Chad Barraford,@cbarraford,,Lead Developer of THORChain,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chad%20Barraford.jpg?alt=media,
Gracy Chen,@GracyBitget,,CEO of Bitget Token,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gracy%20Chen%20%40Bitget.jpg?alt=media,
Humayun,@HMsheikh4,,CEO & Founder of Fetch.ai,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Humayun.jpg?alt=media,
Matthew Ball,@ballmatthew,,"Entrepreneur, advisor, angel investor ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Matthew%20Ball.jpg?alt=media,
Silvio Micali,@silviomicali,,Founder of Algorand,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Silvio%20Micali.jpg?alt=media,
Jason Brink aka BitBender,@BitBenderBrink,,"Founder at LFG Incorporated, Advisor at GALA ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jason%20Brink%20aka%20BitBender.jpg?alt=media,
Aleksander Larsen,@psycheout86,,Co-Founder and COO of Axie Infinity,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Psycheout.ron.jpg?alt=media,
Ben Goertzel,@bengoertzel,,CEO of SingularityNET,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ben%20Goertzel.png?alt=media,
Antonio Juliano,@AntonioMJuliano,,Founder and CEO of dYdX,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Antonio%20_%20dYdX.jpg?alt=media,
Gilbert Verdian,@gverdian,,Founder and CEO of Quant,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gilbert%20Verdian.jpg?alt=media,
Alex Blania,@alexblania,,Co-Founder and CEO of Worldcoin,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alex%20Blania.jpg?alt=media,
Arthur Madrid,@arthurmadrid,,Co-Founder and CEO of The Sandbox,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Arthur%20Madrid.jpg?alt=media,
Da Hongfei,@dahongfei,,Co-Founder of Neo,,
Beniamin Mincu,@beniaminmincu,,Co-Founder and CEO of MultiversX (EGLD),https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Beniamin%20Mincu%20_%20Sovereign%20Chains%20%F0%9F%96%A5%20_%20e_acc%20%F0%9F%94%A5%F0%9F%9B%A0%EF%B8%8F.jpg?alt=media,
Fred Wilson,@fredwilson,,Managing Partner at Union Square Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Fred%20Wilson.jpg?alt=media,
Balaji,@balajis,,Former CTO of Coinbase,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Balaji.jpg?alt=media,
Spencer Bogart,@CremeDeLaCrypto,,General Partner at Blockchain Capital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Spencer%20Bogart.jpg?alt=media,
Michael Seibel,@mwseibel,,Partner at Y Combinator,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Seibel.jpg?alt=media,
andrew chen,@andrewchen,,"General partner at Andreessen Horowitz (a16z),",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/andrew%20chen.jpg?alt=media,
9GAGCEO ❤️ Memecoin,@9gagceo,,"CEO of 9GAG, Memeland",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/9GAGCEO%20%E2%9D%A4%EF%B8%8F%20Memecoin.jpg?alt=media,
The Hound,@TheFudHound,,Prez @ Blockchain Dev Shop ,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/The%20Hound%20%F0%9F%90%BA.jpg?alt=media,
Rick Rieder,@RickRieder,, CIO of BlackRock,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Rick%20Rieder.jpg?alt=media,
Wu Blockchain,@WuBlockchain,,Crypto Reporter,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Wu%20Blockchain.jpg?alt=media,
Sonnenshein,@Sonnenshein,,CEO of GrayScale,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sonnenshein.jpg?alt=media,
Mance Harmon,@ManceHarmon,,Founder of Hedera (HBAR),https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mance%20Harmon.jpg?alt=media,
Peter Yan,@PeterYan,,Founder of Mantle,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Peter%20Yan.png?alt=media,
Jules Urbach,@julesurbach,,Founder of Render,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jules%20Urbach.jpg?alt=media,
Muneeb Ali,@muneeb,,Founder of Stacks,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/muneeb.btc.jpg?alt=media,
Sunny Lu,@sunshinelu24,,CEO & Founder of VeChain,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sunny%20LU%20%40vechain.jpg?alt=media,
Eric Chen,@ericinjective,,Founder of Injective,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Eric%20Chen.jpg?alt=media,
Mitch Liu,@mitchliu,,Founder of Theta,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mitch%20Liu%20_%20Theta%20Network.jpg?alt=media,
Julian ,@juliankoh,,Founder of Aevo,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Julian%20%F0%9F%A4%B9.jpg?alt=media,
meow 喵,@weremeow,,Founder of Jupiter,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/meow%20%E5%96%B5.jpg?alt=media,
Jeff,@jeffdfeng,,Co-Founder of Sei,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jeff.jpg?alt=media,
Jay,@jayendra_jog,,Co-Founder of Sei,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Jay.jpg?alt=media,
Frank,@frankdegods,,Founder of Degod,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Frank.jpg?alt=media,
G | Ethena,@leptokurtic_,,Founder of Ethena,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/G%20_%20Ethena.jpg?alt=media,
Evan Shapiro,@evanashapiro,,Founder of MINA,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Evan%20Shapiro.jpg?alt=media,
Ari Meilich,@arimeilich,,Founder of Decentraland,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ari%20Meilich.jpg?alt=media,
Stefan George,@StefanDGeorge,,Founder of Gnosis,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Stefan%20George%20%F0%9F%A6%89.jpg?alt=media,
Martin Köppelmann,@koeppelmann,,Co-founder Gnosis,,
Miguel Morel,@RealMiguelMorel,,CEO & Founder of Arkham,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Miguel%20Morel.jpg?alt=media,
Johnny_KuCoin,@lyu_johnny,,CEO of KuCoin,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Johnny_KuCoin.jpg?alt=media,
Eric Demuth,@eric_demuth,,Co-Founder and CEO of Bitpanda,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Eric%20Demuth.jpg?alt=media,
Leon Li,@LeonHuobi,,Founder of Huobi,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Leon%20Li.jpg?alt=media,
Ciara Sun,@Crypto_Ciara,,"Former Head of Listing & Blockchain Investments 
of HuobiGlobal",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ciara%20Sun.jpg?alt=media,
Paolo Ardoino,@paoloardoino,,CEO of Tether and CTO of Bitfinex,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Paolo%20Ardoino%20%F0%9F%A4%96%F0%9F%8D%90.jpg?alt=media,
Michael Moro,@michaelmoro,,CEO of Genesis Trading,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Michael%20Moro.jpg?alt=media,
David Schwartz,@joelkatz,,CTO of Ripple,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/David%20_JoelKatz_%20Schwartz.jpg?alt=media,
Yves La Rose,@BigBeardSamurai,,CEO of EOS,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Yves%20La%20Rose.jpg?alt=media,
Crypto Eri ,@sentosumosaba,,"Crypto Analyst, Youtuber (Japan)",,
Evan Van Ness,@evan_van_ness,,Chief Decentralization Officer  of Ethereum,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Evan%20Van%20Ness%20%F0%9F%A7%89.jpg?alt=media,
Nick.eth,@nicksdjohnson,,Lead developer of ENS & Ethereum Foundation,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/nick.eth.jpg?alt=media,
Péter Szilágyi (karalabe.eth),@peter_szilagyi,,Team lead at Ethereum,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Pe%CC%81ter%20Szila%CC%81gyi%20%28karalabe.eth%29.jpg?alt=media,
Garga.eth (Greg Solano),@CryptoGarga,,Co Founder of Yuga Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Garga.eth%20%28Greg%20Solano%29%20%F0%9F%8D%8C.jpg?alt=media,
GordonGoner.eth (Wylie Aronow) ,@GordonGoner,,Co Founder of Yuga Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/GordonGoner.eth%20%28Wylie%20Aronow%29%20%F0%9F%8D%8C.jpg?alt=media,
ZAGABOND,@ZAGABOND,,Founder of Azuki & 0xProject,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/ZAGABOND.ETH.jpg?alt=media,
steamboy,@steamboy33,,"Co-creator of Azuki, Former Character Art Director of OverWatch ",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/steamboy.jpg?alt=media,
Matt Hall,@MattHall2000,,Co-Founder of CryptoPunks,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Matt%20Hall.png?alt=media,
Kevin Rose,@kevinrose,,Partner of True Ventures,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kevin%20Rose.jpg?alt=media,
Justin Mezzell,@JustinMezzell,,Creative Director of Yuga Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Justin%20Mezzell%20%28%F0%9F%A5%83%2C%F0%9F%A6%89%29.jpg?alt=media,
Burnt Toast,@burnttoast,,Co-Founder and Artist of Doodles,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/burnt%20toast.jpg?alt=media,
Jordan Castro,@poopie,,Co-Founder of Doodles,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/9GAGCEO%20%E2%9D%A4%EF%B8%8F%20Memecoin.jpg?alt=media,
Evan Keast,@evankeast,,Co-Founder of Doodles,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/evan%20%F0%9F%8C%B7.jpg?alt=media,
Brenden Mulligan,@mulligan,,Founder of Premint,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Brenden%20Mulligan.jpg?alt=media,
DonAlt,@CryptoDonAlt,,"Crypto Trading Analyst, Youtuber",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/DonAlt.png?alt=media,
Hsaka,@HsakaTrades,,Crypto Trading Analyst,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Hsaka.jpg?alt=media,
KALEO,@CryptoKaleo,,Co-founder LegArt,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/K%20A%20L%20E%20O.jpg?alt=media,
RookieXBT,@RookieXBT,,Crypto Trading Analyst,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/RookieXBT%20%F0%9F%A7%B2.jpg?alt=media,
Kevin O'Leary aka Mr. Wonderful,@kevinolearytv,,Chairman of O’Leary Ventures and Beanstox,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Kevin%20O_Leary%20aka%20Mr.%20Wonderful.jpg?alt=media,
Coin Bureau,@coinbureau,,"Crypto Influencer, Youtuber",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Coin%20Bureau.jpg?alt=media,
Gary Vaynerchuk,@garyvee,,"CEO of Vaynermedia, Creator of veefriends",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Gary%20Vaynerchuk.jpg?alt=media,
beeple,@beeple,,NFT Artist,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/beeple.jpg?alt=media,
Alex Becker,@ZssBecker,,"Founder of Hyros, Neo Tokyo",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alex%20Becker%20%F0%9F%8D%8A%F0%9F%8F%86%F0%9F%A5%87.jpg?alt=media,
Paul Graham,@paulg,,Co-Founder of Y Combinator,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Paul%20Graham.jpg?alt=media,
"Coach, JV",@Coachjv_,,CEO of 3T Warrior Academy,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Coach%2C%20JV.jpg?alt=media,
Brian jung,@thebrianjung,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Brian%20jung.jpg?alt=media,
Layah Heilpern,@LayahHeilpern,,"Journalist, Crypto Youtuber",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Layah%20Heilpern.jpg?alt=media,
Double Top,@doubletop_io,,CIS crypto KOL,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/DOUBLETOP.jpg?alt=media,
Crypto Casey,@cryptocasey,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Crypto%20Casey.jpg?alt=media,
Girl Gone Crypto,@girlgone_crypto,,Host of Crypto Minute,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Girl%20Gone%20Crypto.jpg?alt=media,
The Moon,@TheMoonCarl,,Founder of CryptoJobs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/The%20Moon.jpg?alt=media,
Altcoin Daily,@AltcoinDailyio,,Crypto Youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Altcoin%20Daily.png?alt=media,
David Gokhshtein,@davidgokhshtein,,Founder of Gokhshtein,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/David%20Gokhshtein.jpg?alt=media,
Crypto Jack,@cryptojack,,"Crypto youtuber, Founder of Maker Spot",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/CryptoJack.jpg?alt=media,
Daan Crypto Trades,@DaanCrypto,,Crypto youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Daan%20Crypto%20Trades.jpg?alt=media,
Wendy O,@CryptoWendyO,,Crypto youtuber,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Wendy%20O.jpg?alt=media,
Pranksy,@pranksy,,Founder of NFTBoxes,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Pranksy%20%F0%9F%93%A6.jpg?alt=media,
il Capo Of Crypto,@CryptoCapo_,,Crypto analyst,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/il%20Capo%20Of%20Crypto.jpg?alt=media,
Travladd Crypto,@OfficialTravlad,,Co-founder of Kingfinance,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Travladd%20Crypto.jpg?alt=media,
