name,twitterHandler,linkTwitter,project,image,note
Dan Morehead ,@dan_pantera,,"Founder, CEO and co-chief investment officer of Pantera Capital",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Dan%20Morehead%20.jpeg?alt=media,
Raoul Pal ,@RaoulGMI,,Co-founder and CEO of Real Vision,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Raoul%20Pal%20.jpeg?alt=media,
Samczsun ,@samczsun,,Security researcher,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Samczsun%20.jpeg?alt=media,
Anil Lulla ,@anildelphi,,Co-founder and chief operating officer of Delphi Digital,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ani%20lLulla%20.jpeg?alt=media,
Ryan Selkis ,@twobitidiot,,Founder and CEO of Messari,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Ryan%20Selkis.jpeg?alt=media,
Tyler Winklevoss ,@tyler,,Co-founder and CEO of Gemini,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Tyler%20Winklevoss%20.jpeg?alt=media,
Cameron Winklevoss ,@cameron,,Co-founder and president of Gemini,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Cameron%20Winklevoss%20.png?alt=media,
Sheila Warren ,@sheila_warren,,"Head of data, blockchain and digital assets at the World Economic Forum",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Sheila%20Warren%20.jpeg?alt=media,
Thomas Walton-Pocock,@tomwalpo,,Co-founder and CEO of Aztec,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Thomas%20Walton-Pocock.jpeg?alt=media,
MikeNovogratz,@novogratz,,"Founder, chairman and CEO of Galaxy Digital",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Mike%20Novogratz.jpeg?alt=media,
Elizabeth Stark,@starkness,,Co-founder and CEO of Lightning Labs,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Elizabeth%20Stark.jpg?alt=media,
Alexandre Dreyfus ,@alex_dreyfus,,Founder and CEO of Chiliz and Socios,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Alexandre%20Dreyfus%20.jpeg?alt=media,
Laura Shin,@laurashin,,"Host of ""Unchained"" and ""Unconfirmed""MEDIA",https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Laura%20Shin.png?alt=media,
Brendan Eich ,@BrendanEich,,Co-founder and CEO of Brave,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/%40BrendanEich.png?alt=media,
Kathryn Haun ,@katie_haun,https://x.com/katie_haun,General partner of Andreessen Horowitz,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/%40katie_haun.jpeg?alt=media,
Christine Lagarde,@Lagarde,https://x.com/Lagarde,President of the European Central Bank,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/Chris%20Larsen.png?alt=media,
David Marcus,@davidmarcus,https://x.com/davidmarcus,CEO & co-founder @Lightspark.,https://firebasestorage.googleapis.com/v0/b/goattap.appspot.com/o/David%20Sacks.jpg?alt=media,
